SYMBOL,NAME OF COMPANY, SERIES
20MICRONS,20 Microns Limited,EQ
21STCENMGM,21st Century Management Services Limited,EQ
360ONE,360 ONE WAM LIMITED,EQ
3IINFOLTD,3i Infotech Limited,EQ
3MINDIA,3M India Limited,EQ
3PLAND,3P Land Holdings Limited,EQ
5PAISA,5Paisa Capital Limited,EQ
63MOONS,63 moons technologies limited,EQ
A2ZINFRA,A2Z Infra Engineering Limited,EQ
AAATECH,AAA Technologies Limited,BE
AADHARHFC,Aadhar Housing Finance Limited,EQ
AAKASH,Aakash Exploration Services Limited,EQ
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ
AARON,Aaron Industries Limited,EQ
AARTECH,Aartech Solonics Limited,EQ
AARTIDRUGS,Aarti Drugs Limited,EQ
AARTIIND,Aarti Industries Limited,EQ
AARTIPHARM,Aarti Pharmalabs Limited,EQ
AARTISURF,Aarti Surfactants Limited,EQ
AARVI,Aarvi Encon Limited,EQ
AAVAS,Aavas Financiers Limited,EQ
ABAN,Aban Offshore Limited,BE
ABB,ABB India Limited,EQ
ABBOTINDIA,Abbott India Limited,EQ
ABCAPITAL,Aditya Birla Capital Limited,EQ
ABCOTS,A B Cotspin India Limited,EQ
ABDL,Allied Blenders and Distillers Limited,EQ
ABFRL,Aditya Birla Fashion and Retail Limited,EQ
ABINFRA,A B Infrabuild Limited,EQ
ABLBL,Aditya Birla Lifestyle Brands Limited,EQ
ABMINTLLTD,ABM International Limited,BE
ABREL,Aditya Birla Real Estate Limited,EQ
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ
ACC,ACC Limited,EQ
ACCELYA,Accelya Solutions India Limited,EQ
ACCURACY,Accuracy Shipping Limited,EQ
ACE,Action Construction Equipment Limited,EQ
ACEINTEG,Ace Integrated Solutions Limited,EQ
ACI,Archean Chemical Industries Limited,EQ
ACL,Andhra Cements Limited,EQ
ACMESOLAR,Acme Solar Holdings Limited,EQ
ACUTAAS,Acutaas Chemicals Limited,EQ
